"codigo","estado","http","plataforma","id_video","url","detalle"
"webi-001","BROKEN","404","youtube","QnzDZphv-vg","https://www.youtube.com/watch?v=QnzDZphv-vg","Eliminado o privado en la plataforma"
"webi-002","BROKEN","404","youtube","5iWJzRZeP0Q","https://www.youtube.com/watch?v=5iWJzRZeP0Q","Eliminado o privado en la plataforma"
"webi-003","BROKEN","404","youtube","x9-kCTOIqQs","https://www.youtube.com/watch?v=x9-kCTOIqQs","Eliminado o privado en la plataforma"
"webi-004","BROKEN","404","youtube","OJlQXw8bG1Y","https://www.youtube.com/watch?v=OJlQXw8bG1Y&t=170s","Eliminado o privado en la plataforma"
"webi-005","BROKEN","404","youtube","v_EQXESdHk4","https://www.youtube.com/watch?v=v_EQXESdHk4&t=171s","Eliminado o privado en la plataforma"
"webi-006","BROKEN","404","youtube","k3sg2Td1uzs","https://www.youtube.com/watch?v=k3sg2Td1uzs&t=338s","Eliminado o privado en la plataforma"
"webi-007","BROKEN","404","youtube","iMgERORfkiA","https://www.youtube.com/watch?v=iMgERORfkiA","Eliminado o privado en la plataforma"
"webi-008","BROKEN","404","youtube","YFPT04Q0SBg","https://www.youtube.com/watch?v=YFPT04Q0SBg&t=20s","Eliminado o privado en la plataforma"
"webi-009","BROKEN","404","youtube","3GKdg-jBizo","https://www.youtube.com/watch?v=3GKdg-jBizo&t=14s","Eliminado o privado en la plataforma"
"webi-010","BROKEN","404","youtube","YxhO_kW_byc","https://www.youtube.com/watch?v=YxhO_kW_byc&t=5s","Eliminado o privado en la plataforma"
"webi-011","BROKEN","404","youtube","j-qOOaXW0KA","https://www.youtube.com/watch?v=j-qOOaXW0KA&t=994s","Eliminado o privado en la plataforma"
"webi-012","BROKEN","404","youtube","TkJVpaSiJIY","https://www.youtube.com/watch?v=TkJVpaSiJIY","Eliminado o privado en la plataforma"
"webi-013","BROKEN","404","youtube","Nv2JGXQps58","https://www.youtube.com/watch?v=Nv2JGXQps58","Eliminado o privado en la plataforma"
"webi-014","BROKEN","404","youtube","2ANWnPsjsKA","https://www.youtube.com/watch?v=2ANWnPsjsKA","Eliminado o privado en la plataforma"
"webi-015","BROKEN","404","youtube","rG0rW4_r-Rs","https://www.youtube.com/watch?v=rG0rW4_r-Rs","Eliminado o privado en la plataforma"
"webi-016","BROKEN","404","youtube","m1ICG5TJxKI","https://www.youtube.com/watch?v=m1ICG5TJxKI","Eliminado o privado en la plataforma"
"webi-017","BROKEN","404","youtube","Aff6XosvCus","https://www.youtube.com/watch?v=Aff6XosvCus&t=252s","Eliminado o privado en la plataforma"
"webi-018","BROKEN","404","youtube","lXQMACPsWrU","https://www.youtube.com/watch?v=lXQMACPsWrU","Eliminado o privado en la plataforma"
"webi-019","BROKEN","404","youtube","6Id5TNIuS1A","https://www.youtube.com/watch?v=6Id5TNIuS1A","Eliminado o privado en la plataforma"
"webi-020","BROKEN","404","youtube","XUBwul3yFN4","https://www.youtube.com/watch?v=XUBwul3yFN4","Eliminado o privado en la plataforma"
"webi-021","BROKEN","404","youtube","AmjNjy-Pdnk","https://www.youtube.com/watch?v=AmjNjy-Pdnk","Eliminado o privado en la plataforma"
